stage,sym,firm,risk,max_days,target,baseline_seed,sim,exit_hour,expire_hour,max_range_atr,min_range_atr,rng_type,rr,sl_frac,max_trades_day,is_n,is_pass_pct,is_pass_inc_pct,is_fail_pct,is_timeout_pct,is_days_med,is_trades,is_endbal,oos_n,oos_pass_pct,oos_pass_inc_pct,oos_fail_pct,oos_timeout_pct,oos_days_med,oos_trades,oos_endbal,trail,sl_atr,strat_key,exec_key,skip_dow,risk_on_balance,day_stop_pct
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,1.0,1,338,2.1,2.7,15.7,79.6,6.6,3.5,97953.0,163,0.0,3.7,15.3,81.0,,3.4,97991.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,1.0,1,338,4.7,0.0,43.8,51.5,5.5,3.1,98039.0,163,4.3,0.0,46.0,49.7,3.6,3.0,97783.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,1.0,1,338,0.6,7.1,10.4,82.0,6.8,3.4,97941.0,163,0.0,4.9,9.2,85.9,,3.4,98220.0,1.5,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,1.0,1,338,8.6,0.0,32.8,58.6,3.9,3.2,98217.0,163,5.5,0.0,34.4,60.1,2.5,3.2,98140.0,1.5,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,1.0,1.0,1,338,0.0,0.0,5.3,94.7,,4.4,99650.0,163,0.0,0.0,3.1,96.9,,4.4,99182.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,1.0,1.0,1,338,0.0,0.0,16.0,84.0,,4.2,99741.0,163,0.0,0.0,17.2,82.8,,4.3,99229.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,2.0,1.0,1,338,4.4,0.0,10.7,84.9,6.4,4.3,99819.0,163,1.8,0.0,8.6,89.6,4.6,4.3,99145.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,2.0,1.0,1,338,4.4,0.0,23.1,72.5,6.4,4.1,99900.0,163,1.8,0.0,23.9,74.2,4.6,4.1,99288.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,3.0,1.0,1,338,4.4,4.1,13.6,77.8,5.7,4.2,99980.0,163,3.7,1.2,12.9,82.2,3.6,4.2,99290.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,prelondon,3.0,1.0,1,338,8.9,0.0,26.9,64.2,4.6,4.0,100008.0,163,5.5,0.0,28.2,66.3,3.7,4.1,99379.0,,,"(('rng_type', 'prelondon'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
