dt,open,high,low,close,volume
2026-06-01 04:00:00+00:00,73660.44,73743.0,73247.2,73432.38,20.377833289999998
2026-06-01 05:00:00+00:00,73423.78,73442.75,73226.0,73252.99,16.10977785
2026-06-01 06:00:00+00:00,73253.0,73273.72,72870.29,73044.01,28.408327540000002
2026-06-01 07:00:00+00:00,73044.0,73111.44,72611.68,72712.58,39.70664891
2026-06-01 08:00:00+00:00,72711.6,72828.38,72514.91,72808.57,43.5241244
2026-06-01 09:00:00+00:00,72808.57,73012.33,72722.8,72789.13,45.44246371
2026-06-01 10:00:00+00:00,72797.02,72810.28,72507.01,72658.69,41.60310602
2026-06-01 11:00:00+00:00,72658.69,72676.01,72201.0,72381.24,39.34936601
2026-06-01 12:00:00+00:00,72399.0,72523.0,71810.77,72125.79,118.81160097
2026-06-01 13:00:00+00:00,72127.39,72148.05,71269.0,71591.98,328.42384987
2026-06-01 14:00:00+00:00,71591.0,71767.54,71274.84,71423.0,160.48477568
2026-06-01 15:00:00+00:00,71445.63,71551.04,70943.6,71003.72,139.26947012
2026-06-01 16:00:00+00:00,71003.71,71497.11,70574.13,71461.09,155.09109248
2026-06-01 17:00:00+00:00,71461.09,71694.73,71367.45,71553.68,59.54766362
2026-06-01 18:00:00+00:00,71537.05,71586.19,71281.87,71400.49,76.28887903
2026-06-01 19:00:00+00:00,71400.49,71574.52,71300.0,71510.42,110.7140294
2026-06-01 20:00:00+00:00,71503.23,71606.55,71317.25,71349.76,57.50096661
2026-06-01 21:00:00+00:00,71349.77,71354.66,70850.31,70948.01,55.48724668
2026-06-01 22:00:00+00:00,70948.0,71365.0,70742.0,71311.0,48.78530815
2026-06-01 23:00:00+00:00,71311.01,71482.36,71135.4,71313.86,43.35965367
2026-06-02 00:00:00+00:00,71305.47,71309.61,71004.91,71186.33,23.82715534
2026-06-02 01:00:00+00:00,71198.0,71276.18,70507.07,70535.95,59.66664525
2026-06-02 02:00:00+00:00,70553.62,70780.26,70012.05,70738.77,132.25404242
2026-06-02 03:00:00+00:00,70744.21,70937.0,70699.58,70848.98,38.44979574
2026-06-02 04:00:00+00:00,70848.43,70933.0,70614.11,70702.05,32.21765986
2026-06-02 05:00:00+00:00,70699.86,70726.99,70149.99,70157.63,76.48371268
2026-06-02 06:00:00+00:00,70157.63,70340.28,69849.85,69998.45,93.42695766
2026-06-02 07:00:00+00:00,69998.45,70168.0,69630.66,70023.0,108.78737309
2026-06-02 08:00:00+00:00,70014.96,70075.54,69607.57,69721.39,82.69371072
2026-06-02 09:00:00+00:00,69721.39,69743.99,69227.0,69317.99,120.21828586
2026-06-02 10:00:00+00:00,69317.99,69648.0,69246.06,69544.53,64.0151316
2026-06-02 11:00:00+00:00,69545.0,69552.67,69312.47,69352.45,73.20510979
2026-06-02 12:00:00+00:00,69353.07,69438.99,68896.04,68901.5,180.8783975
2026-06-02 13:00:00+00:00,68909.53,69080.07,68625.83,68676.73,147.1772745
2026-06-02 14:00:00+00:00,68685.0,68717.69,67501.0,67884.73,373.66505871
2026-06-02 15:00:00+00:00,67883.97,67940.0,66948.02,67176.99,342.51073327
2026-06-02 16:00:00+00:00,67176.98,68019.63,67106.17,67303.32,156.15036098
2026-06-02 17:00:00+00:00,67303.32,67727.11,67267.23,67364.99,126.02591013
2026-06-02 18:00:00+00:00,67364.99,67544.11,67022.0,67224.34,104.51282092
2026-06-02 19:00:00+00:00,67224.35,67394.99,66302.56,67207.0,153.08700391
2026-06-02 20:00:00+00:00,67215.7,67577.7,66813.0,67481.53,94.98818582
2026-06-02 21:00:00+00:00,67481.53,67820.4,67309.99,67466.74,77.66917491
2026-06-02 22:00:00+00:00,67465.93,67465.93,66159.0,66289.0,189.19251638
2026-06-02 23:00:00+00:00,66289.0,66777.98,66099.58,66668.6,211.01733022
2026-06-03 00:00:00+00:00,66669.99,67108.0,66566.21,66838.59,108.44780475
2026-06-03 01:00:00+00:00,66848.58,66959.31,66377.0,66821.01,64.93395907
2026-06-03 02:00:00+00:00,66821.01,66842.79,66491.0,66524.23,50.36209903
2026-06-03 03:00:00+00:00,66517.18,66572.81,65361.65,65761.0,175.41288581
2026-06-03 04:00:00+00:00,65762.11,66525.31,65739.28,66368.5,99.79642601
2026-06-03 05:00:00+00:00,66374.49,67297.93,66374.49,67238.17,198.42970093
2026-06-03 06:00:00+00:00,67230.05,67417.99,66869.91,66885.0,98.37313977
2026-06-03 07:00:00+00:00,66892.0,67242.6,66785.89,67139.63,76.74383473
2026-06-03 08:00:00+00:00,67121.65,67170.99,66889.25,66929.37,60.20457046
2026-06-03 09:00:00+00:00,66933.64,67229.61,66561.35,66976.42,84.61052042
2026-06-03 10:00:00+00:00,66974.7,67380.99,66967.67,67199.63,63.2423998
2026-06-03 11:00:00+00:00,67205.71,67277.13,66963.0,66980.38,57.34721118
2026-06-03 12:00:00+00:00,66980.38,67073.36,66694.54,66983.99,91.66202506
2026-06-03 13:00:00+00:00,66985.52,67153.11,66533.53,66800.02,219.72744383
2026-06-03 14:00:00+00:00,66800.02,66896.35,66535.9,66764.65,131.33882216
2026-06-03 15:00:00+00:00,66756.21,66794.84,65975.93,65979.71,192.54943362
2026-06-03 16:00:00+00:00,65979.64,66266.2,65460.84,65972.66,192.30506334
2026-06-03 17:00:00+00:00,65972.65,66094.58,65618.59,65870.8,79.31015533
2026-06-03 18:00:00+00:00,65876.87,66071.93,65660.18,65948.26,70.44670672
2026-06-03 19:00:00+00:00,65948.27,65968.6,65158.15,65371.67,144.4006364
2026-06-03 20:00:00+00:00,65351.79,65514.56,64677.69,64916.94,204.1409014
2026-06-03 21:00:00+00:00,64910.47,65773.22,64865.6,65676.16,201.5535668
2026-06-03 22:00:00+00:00,65664.5,65739.44,64682.78,64818.23,167.37929334
2026-06-03 23:00:00+00:00,64820.15,64884.95,63991.31,64045.64,157.75897591
2026-06-04 00:00:00+00:00,64045.63,64336.27,62932.7,63241.74,339.28943014
2026-06-04 01:00:00+00:00,63259.19,63417.58,62022.43,62105.62,427.94966598
2026-06-04 02:00:00+00:00,62105.63,63562.3,61310.19,63142.85,425.28441792
2026-06-04 03:00:00+00:00,63160.97,64457.96,63146.11,64291.37,147.82501215
2026-06-04 04:00:00+00:00,64291.38,64687.36,64196.96,64334.91,112.6505577
2026-06-04 05:00:00+00:00,64334.91,64334.91,63592.74,63903.71,179.94717346
2026-06-04 06:00:00+00:00,63886.1,64424.26,63835.42,63968.15,141.55764987
2026-06-04 07:00:00+00:00,63968.16,64005.07,63438.57,63532.67,119.32186926
2026-06-04 08:00:00+00:00,63538.67,63831.02,63187.08,63542.49,219.12338309
2026-06-04 09:00:00+00:00,63542.5,63560.3,62639.49,63176.76,244.33169448
2026-06-04 10:00:00+00:00,63176.76,63176.76,62223.11,62363.13,214.22250696999998
2026-06-04 11:00:00+00:00,62354.9,62758.56,62143.02,62479.4,193.9830892
