step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.5,7-20,1.0,3,150,10,True,72,True,-1000.0,-0.0223,1002.02,100.0,2014-10-10 10:00:00,3,2975,0,2816,156,-88.05,0.06
1.5,7-20,1.2,6,60,6,True,168,False,-1000.0,-0.0223,1023.37,100.0,2013-07-11 07:00:00,0,1289,26,1263,0,-96.79,0.09
1.0,7-20,1.0,4,60,6,False,24,True,-1000.0,-0.0223,1005.04,100.0,2013-07-04 13:00:00,3,1481,3,1385,90,-64.52,0.07
2.0,12-21,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1014.78,100.0,2013-12-18 20:00:00,3,1847,0,1778,66,-94.25,0.07
1.5,12-21,1.2,6,150,10,False,24,True,-1000.0,-0.0223,1005.82,100.0,2015-06-16 12:00:00,4,4087,0,3657,426,-100.13,0.07
1.5,12-21,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1024.26,100.0,2013-12-02 14:00:00,6,1814,0,1748,60,-93.84,0.07
1.0,12-21,1.0,3,250,6,True,168,False,-1000.0,-0.0223,1001.92,100.0,2014-09-08 00:00:00,0,2476,0,2428,48,-104.47,0.06
1.5,12-21,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1002.39,100.0,2014-05-09 14:00:00,4,2623,0,2419,200,-54.17,0.06
0.5,12-21,1.2,4,100,10,False,72,True,-1000.0,-0.0223,1017.71,100.0,2014-10-10 16:00:00,3,2484,7,2368,106,-122.85,0.08
2.0,7-20,1.0,3,60,6,True,168,True,-1000.0,-0.0223,1004.98,100.0,2013-10-04 16:00:00,4,1325,21,1290,10,-83.41,0.06
0.5,all,1.2,6,250,10,False,168,True,-1000.0,-0.0223,1004.81,100.0,2013-07-05 14:00:00,2,926,0,907,17,-204.99,0.12
0.5,all,1.2,3,250,10,False,72,True,-1000.0,-0.0223,1002.95,100.0,2015-02-05 01:00:00,6,3909,0,3712,191,-116.86,0.06
2.0,all,1.0,6,100,10,False,168,True,-1000.0,-0.0223,1012.34,100.0,2013-09-18 20:00:00,1,1145,16,1119,9,-138.87,0.09
1.0,all,1.0,4,100,10,True,24,False,-1000.0,-0.0223,1041.24,100.0,2014-10-06 21:00:00,3,4901,0,4421,477,-75.18,0.08
2.0,7-20,1.2,6,250,10,True,72,False,-1000.0,-0.0223,1051.2,100.0,2014-11-17 08:00:00,4,3230,0,3066,160,-120.52,0.09
1.0,7-20,1.0,3,150,10,True,24,False,-1000.0,-0.0223,1034.36,100.0,2015-02-27 13:00:00,3,5194,0,4702,489,-64.97,0.06
0.5,7-20,1.0,3,250,6,False,168,True,-1000.0,-0.0223,1010.3,100.0,2013-10-21 09:00:00,9,1408,0,1369,30,-120.64,0.06
1.0,all,1.0,4,250,6,True,168,True,-1000.0,-0.0223,1006.99,100.0,2013-08-14 15:00:00,3,1292,0,1267,22,-148.7,0.08
0.5,7-20,1.0,6,150,6,True,168,True,-1000.0,-0.0223,1019.76,100.0,2013-06-04 10:00:00,4,866,6,849,7,-167.31,0.12
1.0,12-21,1.0,6,100,10,False,168,True,-1000.0,-0.0223,1036.54,100.0,2013-12-18 20:00:00,2,1292,21,1264,5,-143.83,0.12
1.0,all,1.2,6,150,10,True,72,True,-1000.0,-0.0223,1004.66,100.0,2013-07-05 14:00:00,1,1148,3,1106,38,-183.06,0.11
1.5,all,1.0,6,150,10,True,24,False,-1000.0,-0.0223,1034.08,100.0,2015-07-10 14:00:00,2,6870,0,6187,681,-100.13,0.08
2.0,all,1.0,3,60,10,True,168,True,-1000.0,-0.0223,1004.53,100.0,2014-09-23 10:00:00,5,2369,39,2295,30,-95.02,0.06
2.0,12-21,1.2,6,60,10,False,168,True,-1000.0,-0.0223,1014.18,100.0,2014-10-03 14:00:00,2,1933,40,1881,10,-104.5,0.1
1.0,12-21,1.0,4,60,10,False,24,False,-1000.0,-0.0223,1026.47,100.0,2015-03-18 20:00:00,0,4158,10,3734,414,-72.22,0.07
0.5,12-21,1.0,4,250,10,False,24,False,-1000.0,-0.0223,1025.83,100.0,2014-11-12 12:00:00,3,3531,0,3176,352,-89.21,0.08
1.0,12-21,1.0,4,150,6,True,72,False,-1000.0,-0.0223,1023.11,100.0,2013-11-05 13:00:00,6,1777,0,1716,55,-96.09,0.08
1.0,12-21,1.0,3,100,6,True,24,False,-1000.0,-0.0223,1011.01,100.0,2013-11-27 15:00:00,3,2206,0,2041,162,-64.97,0.06
0.5,12-21,1.2,6,250,10,False,24,False,-1000.0,-0.0223,1028.83,100.0,2014-05-09 15:00:00,6,2736,0,2479,251,-116.33,0.1
2.0,all,1.2,3,60,10,True,24,False,-1000.0,-0.0223,1029.21,100.0,2015-12-03 18:00:00,2,7597,4,6785,806,-129.72,0.06
1.0,all,1.2,4,250,6,False,72,True,-1000.0,-0.0223,1006.99,100.0,2013-07-05 14:00:00,2,1368,0,1326,40,-144.18,0.08
2.0,all,1.2,6,250,10,False,24,True,-1000.0,-0.0223,1007.07,100.0,2016-01-12 18:00:00,1,7218,0,6478,739,-68.45,0.07
2.0,all,1.2,4,100,6,True,24,True,-1000.0,-0.0223,1002.62,100.0,2013-10-08 16:00:00,6,2364,1,2184,173,-113.52,0.06
2.0,all,1.0,4,100,6,False,168,False,-1000.0,-0.0223,1005.25,100.0,2013-08-07 14:00:00,1,1467,12,1443,11,-124.3,0.08
0.5,7-20,1.0,3,60,6,True,72,False,-1000.0,-0.0223,1010.04,100.0,2013-07-26 10:00:00,3,1572,13,1510,46,-85.02,0.06
1.5,12-21,1.2,3,250,10,True,168,False,-1000.0,-0.0223,1005.01,100.0,2015-03-13 15:00:00,2,2511,0,2436,73,-145.13,0.06
2.0,all,1.0,3,60,10,False,168,True,-1000.0,-0.0223,1004.53,100.0,2014-09-23 10:00:00,5,2369,39,2295,30,-95.02,0.06
0.5,12-21,1.0,6,150,6,True,72,True,-1000.0,-0.0223,1064.22,100.0,2013-12-02 12:00:00,3,1747,2,1700,42,-167.02,0.12
1.5,7-20,1.2,3,150,6,True,24,True,-1000.0,-0.0223,1005.04,100.0,2013-11-12 10:00:00,2,2323,0,2161,160,-45.78,0.06
2.0,7-20,1.0,6,60,10,True,72,True,-1000.0,-0.0223,1005.66,100.0,2014-01-02 15:00:00,3,1767,23,1679,62,-97.92,0.08
1.0,all,1.0,6,250,10,False,24,True,-1000.0,-0.0223,1011.46,100.0,2014-09-22 02:00:00,1,4263,0,3868,394,-114.45,0.09
0.5,12-21,1.0,4,250,10,True,24,False,-1000.0,-0.0223,1025.83,100.0,2014-11-12 12:00:00,3,3531,0,3176,352,-89.21,0.08
1.5,all,1.2,3,100,10,True,24,False,-1000.0,-0.0223,1032.72,100.0,2015-06-18 10:00:00,3,6700,1,6023,673,-131.88,0.06
1.0,12-21,1.0,6,100,10,False,24,False,-1000.0,-0.0223,1026.47,100.0,2015-03-19 17:00:00,2,4170,1,3750,417,-179.06,0.09
1.0,all,1.2,6,60,6,False,72,True,-1000.0,-0.0223,1021.6,100.0,2013-05-22 16:00:00,1,1154,17,1116,20,-103.84,0.1
2.0,all,1.0,3,150,6,True,168,False,-1000.0,-0.0223,1011.06,100.0,2013-11-05 11:00:00,2,1745,0,1708,35,-110.86,0.06
2.0,all,1.2,4,150,10,True,72,True,-1000.0,-0.0223,1002.83,100.0,2015-03-18 20:00:00,2,3951,0,3767,182,-117.09,0.07
1.5,7-20,1.2,6,150,6,False,72,False,-1000.0,-0.0223,1032.74,100.0,2013-11-07 15:00:00,3,2153,1,2083,66,-165.98,0.1
1.0,all,1.0,3,150,10,True,168,True,-1000.0,-0.0223,1005.82,100.0,2015-05-08 00:00:00,1,3302,1,3210,90,-151.58,0.06
2.0,all,1.2,4,100,10,False,168,False,-1000.0,-0.0223,1030.71,100.0,2014-02-17 02:00:00,2,1868,16,1824,26,-124.52,0.08
1.0,7-20,1.2,3,150,10,False,168,False,-1000.0,-0.0223,1016.74,100.0,2015-05-12 11:00:00,1,3270,1,3175,93,-151.58,0.06
2.0,12-21,1.2,6,250,10,False,168,False,-1000.0,-0.0223,1008.54,100.0,2014-09-16 17:00:00,3,1959,1,1913,42,-250.32,0.1
2.0,7-20,1.2,6,150,6,True,24,False,-1000.0,-0.0223,1010.1,100.0,2013-10-16 19:00:00,2,2393,0,2205,186,-50.76,0.06
2.0,12-21,1.0,3,60,10,True,72,False,-1000.0,-0.0223,1033.99,100.0,2015-03-13 15:00:00,2,3217,23,3036,156,-84.92,0.06
0.5,all,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1016.8,100.0,2013-07-05 14:00:00,2,1783,0,1733,48,-160.07,0.08
1.0,all,1.0,4,150,6,False,168,False,-1000.0,-0.0223,1011.62,100.0,2013-07-11 00:00:00,1,1359,1,1336,21,-154.83,0.08
2.0,12-21,1.2,4,60,10,False,24,False,-1000.0,-0.0223,1013.38,100.0,2015-07-10 13:00:00,2,4545,6,4023,514,-129.72,0.07
0.5,all,1.0,6,150,10,True,168,False,-1000.0,-0.0223,1044.53,100.0,2013-06-27 21:00:00,7,1196,13,1168,8,-172.19,0.12
2.0,12-21,1.0,6,150,10,True,24,False,-1000.0,-0.0223,1013.38,100.0,2015-11-06 15:00:00,3,5136,0,4550,583,-65.78,0.07
1.0,7-20,1.0,6,250,10,False,168,False,-1000.0,-0.0223,1060.63,100.0,2013-11-07 15:00:00,3,1483,0,1452,28,-196.41,0.12
1.0,12-21,1.2,4,60,10,True,168,False,-1000.0,-0.0223,1005.83,100.0,2013-12-27 12:00:00,0,1554,41,1511,2,-90.2,0.08
1.0,all,1.2,4,250,6,True,72,True,-1000.0,-0.0223,1006.99,100.0,2013-07-05 14:00:00,2,1368,0,1326,40,-144.18,0.08
0.5,all,1.2,6,150,10,False,72,False,-1000.0,-0.0223,1053.51,100.0,2013-07-05 14:00:00,1,1475,5,1424,45,-205.07,0.12
1.0,all,1.0,3,60,6,False,24,False,-1000.0,-0.0223,1017.22,100.0,2013-07-11 00:00:00,1,2239,2,2080,156,-63.31,0.06
1.5,12-21,1.0,3,100,10,False,72,False,-1000.0,-0.0223,1014.9,100.0,2015-03-02 13:00:00,6,3166,3,2991,166,-107.91,0.06
2.0,7-20,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1002.09,100.0,2013-10-23 07:00:00,4,2119,0,1960,155,-60.32,0.06
1.0,7-20,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1028.31,100.0,2013-07-11 00:00:00,1,1252,0,1217,34,-138.25,0.11
