step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
1.5,12-21,1.0,4,250,6,False,168,False,-1000.0,-0.0223,1011.3,100.0,2014-12-30 13:00:00,6,2880,0,2823,51,-141.6,0.08
1.0,12-21,1.2,4,60,6,True,24,True,-1000.0,-0.0223,1006.82,100.0,2014-05-13 12:00:00,13,2620,6,2385,216,-78.3,0.08
1.0,12-21,1.0,3,250,10,False,24,True,-1000.0,-0.0223,1001.91,100.0,2015-05-19 16:00:00,1,3757,0,3297,459,-109.57,0.06
1.0,all,1.0,3,150,10,True,72,False,-1000.0,-0.0223,1054.15,100.0,2016-02-16 02:00:00,2,6039,0,5743,294,-120.62,0.06
0.5,7-20,1.2,6,250,6,False,168,True,-1000.0,-0.0223,1083.48,100.0,2014-09-30 11:00:00,2,3035,0,2991,42,-184.96,0.12
1.5,7-20,1.0,4,100,10,True,168,False,-1000.0,-0.0223,1022.02,100.0,2015-05-19 10:00:00,0,3293,19,3213,61,-141.16,0.08
1.5,7-20,1.0,3,60,6,True,168,False,-1000.0,-0.0223,1009.42,100.0,2014-12-11 10:00:00,0,3282,33,3212,37,-73.37,0.06
0.5,7-20,1.0,4,250,6,False,24,False,-1000.0,-0.0223,1019.06,100.0,2013-09-19 08:00:00,3,2414,0,2257,154,-128.65,0.08
2.0,7-20,1.2,4,100,10,True,168,True,-1000.0,-0.0223,1135.78,100.0,2015-11-06 15:00:00,1,3681,25,3601,54,-168.55,0.08
0.5,all,1.2,4,60,6,False,24,True,-1000.0,-0.0223,1007.57,100.0,2013-11-07 13:00:00,1,2943,11,2759,172,-74.07,0.08
0.5,7-20,1.2,3,100,6,True,168,False,-1000.0,-0.0223,1005.32,100.0,2014-10-03 16:00:00,1,2825,3,2757,64,-124.43,0.06
0.5,12-21,1.0,4,60,6,False,168,False,-1000.0,-0.0223,1000.27,100.0,2013-11-07 13:00:00,1,1618,30,1578,9,-92.22,0.08
1.5,12-21,1.2,6,150,6,False,168,False,-1000.0,-0.0223,1011.3,100.0,2015-01-05 00:00:00,2,2929,3,2886,38,-183.54,0.11
0.5,12-21,1.0,4,150,10,False,72,False,-1000.0,-0.0223,1000.53,100.0,2015-03-20 14:00:00,1,3278,3,3108,166,-167.02,0.08
2.0,12-21,1.0,4,150,6,True,72,False,-1000.0,-0.0223,1001.2,100.0,2015-01-05 00:00:00,2,3281,0,3143,136,-88.86,0.07
2.0,all,1.2,4,60,6,True,24,False,-1000.0,-0.0223,1007.68,100.0,2014-08-28 07:00:00,9,4826,2,4357,458,-65.56,0.06
1.5,all,1.0,3,60,6,False,72,False,-1000.0,-0.0223,1000.64,100.0,2015-01-02 09:00:00,0,4566,15,4391,160,-70.95,0.06
1.5,12-21,1.0,6,250,10,False,24,True,-1000.0,-0.0223,1000.95,100.0,2015-06-04 11:00:00,1,3696,0,3222,473,-153.05,0.08
0.5,all,1.2,6,100,10,False,168,False,-1000.0,-0.0223,1011.43,100.0,2015-03-24 11:00:00,1,3904,50,3819,34,-155.12,0.12
1.0,12-21,1.0,6,250,6,True,72,False,-1000.0,-0.0223,1001.2,100.0,2014-04-15 14:00:00,5,2490,0,2407,78,-134.86,0.09
1.0,12-21,1.0,6,150,6,True,24,False,-1000.0,-0.0223,1009.52,100.0,2014-03-13 12:00:00,3,2684,0,2462,219,-66.4,0.08
1.5,12-21,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1039.03,100.0,2015-03-13 12:00:00,2,3396,0,3279,115,-175.59,0.09
1.5,all,1.2,3,250,10,True,24,False,-1000.0,-0.0223,1021.74,100.0,2015-06-08 21:00:00,2,6047,0,5336,709,-109.57,0.06
1.5,7-20,1.2,3,60,10,False,72,False,-1000.0,-0.0223,1002.64,100.0,2015-06-29 11:00:00,1,4229,31,3996,201,-80.48,0.06
1.0,all,1.2,3,100,10,True,24,True,-1000.0,-0.0223,1003.48,100.0,2015-04-07 11:00:00,2,5168,2,4594,570,-134.31,0.06
