sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.0,balance,IS,400,390,12.6,0.0,4.9,26.2,56.4,3.8,4.9,7.24,-2.1,100167.0,31.1,1.1,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.0,balance,IS,400,390,23.8,0.0,8.7,45.1,22.3,6.7,7.3,8.68,-2.16,100702.0,53.8,1.5,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.0,ladder,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.87,-1.02,100021.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.0,ladder,IS,400,390,4.9,0.0,0.0,0.0,95.1,8.3,11.2,4.41,-1.31,100053.0,0.0,2.4,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.0,ladder_balance,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.88,-1.03,100021.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.0,ladder_balance,IS,400,390,5.1,0.0,0.0,0.0,94.9,8.1,11.2,4.44,-1.33,100068.0,0.0,2.5,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,fixed,IS,400,390,22.6,0.0,19.2,35.1,23.1,3.8,3.9,8.53,-2.73,100461.0,54.3,0.9,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,fixed,IS,400,390,30.3,0.0,20.8,42.3,6.7,4.8,4.8,9.18,-2.75,100831.0,63.1,1.1,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,balance,IS,400,390,17.9,0.0,29.2,37.7,15.1,3.0,3.7,8.18,-2.74,100191.0,66.9,0.8,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,balance,IS,400,390,20.3,0.0,32.8,44.4,2.6,3.5,4.1,8.51,-2.76,100190.0,77.2,0.9,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,ladder,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.87,-1.02,100017.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,ladder,IS,400,390,4.9,0.0,0.0,0.0,95.1,8.3,11.2,4.43,-1.33,100029.0,0.0,2.4,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,ladder_balance,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.89,-1.03,100017.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,ladder_balance,IS,400,390,5.1,0.0,0.0,0.0,94.9,8.1,11.2,4.46,-1.35,100044.0,0.0,2.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,0.5,fixed,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,1.67,-0.54,99857.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,0.5,fixed,IS,400,527,0.2,0.0,0.0,0.0,99.8,8.4,8.7,2.5,-0.6,99757.0,0.0,2.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,0.5,balance,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,1.67,-0.54,99856.0,0.0,1.3,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,0.5,balance,IS,400,527,0.2,0.0,0.0,0.0,99.8,8.4,8.7,2.49,-0.6,99755.0,0.0,2.8,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,fixed,IS,400,527,0.9,0.0,0.0,0.0,99.1,5.0,4.4,3.35,-1.08,99720.0,0.0,1.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,fixed,IS,400,527,2.1,0.0,0.0,9.7,88.2,7.7,8.5,4.91,-1.19,99521.0,9.7,2.7,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,balance,IS,400,527,0.9,0.0,0.0,0.0,99.1,5.0,4.4,3.34,-1.09,99717.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,balance,IS,400,527,2.1,0.0,0.0,8.3,89.6,7.7,8.5,4.91,-1.19,99502.0,8.3,2.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,ladder,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,2.15,-0.81,99761.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,ladder,IS,400,527,0.4,0.0,0.0,0.0,99.6,10.9,8.7,3.33,-0.98,99565.0,0.0,2.6,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,ladder_balance,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,2.16,-0.81,99759.0,0.0,1.4,2
