n,pass_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,symbol,strategy,risk,pass_inconsistent_pct
2400,22.9,0.4,37.5,39.2,5.6,3.9,12.05,-4.03,98337.0,USDJPY,coin_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,2.9,-1.05,99541.0,USDJPY,coin_1R,1.0,
2400,0.0,0.0,3.3,96.7,,5.0,5.79,-2.1,99076.0,USDJPY,coin_1R,2.0,
2400,4.3,0.0,11.8,84.0,5.6,4.8,8.43,-3.13,98651.0,USDJPY,coin_1R,3.0,
2400,16.2,0.1,30.0,53.6,5.6,4.4,10.4,-4.05,98185.0,USDJPY,coin_1R,4.0,
2400,0.0,0.0,0.0,100.0,,1.7,1.35,-0.64,100051.0,USDJPY,ema_trend_h1,1.0,
2400,0.3,0.0,0.0,99.7,5.6,1.7,2.71,-1.28,100102.0,USDJPY,ema_trend_h1,2.0,
2400,1.4,1.1,0.0,97.4,5.6,1.7,4.05,-1.92,100155.0,USDJPY,ema_trend_h1,3.0,
2400,2.8,4.0,0.6,92.6,5.6,1.7,5.33,-2.52,100160.0,USDJPY,ema_trend_h1,4.0,
2400,0.0,0.0,0.0,100.0,,0.6,0.51,-0.26,99960.0,USDJPY,ema_trend_h4,1.0,
2400,0.0,0.0,0.0,100.0,,0.6,1.02,-0.52,99920.0,USDJPY,ema_trend_h4,2.0,
2400,0.1,0.2,0.0,99.7,5.6,0.6,1.52,-0.79,99881.0,USDJPY,ema_trend_h4,3.0,
2400,0.5,0.5,0.2,98.9,5.6,0.5,2.02,-1.05,99850.0,USDJPY,ema_trend_h4,4.0,
786,0.3,0.0,0.0,99.7,5.7,7.0,4.06,-1.02,99812.0,BTCUSD,momentum_2R,1.0,
786,3.1,0.0,3.3,93.6,5.6,6.9,6.42,-1.85,99520.0,BTCUSD,momentum_2R,2.0,
786,6.4,0.0,6.1,87.5,5.6,6.7,6.97,-2.16,99527.0,BTCUSD,momentum_2R,3.0,
786,7.0,0.0,7.1,85.9,5.6,6.7,7.16,-2.3,99478.0,BTCUSD,momentum_2R,4.0,
786,0.0,0.0,0.0,100.0,,7.0,4.01,-1.02,99628.0,BTCUSD,meanrev_2R,1.0,
786,5.6,0.0,2.5,91.9,5.6,6.9,6.28,-1.84,99612.0,BTCUSD,meanrev_2R,2.0,
786,7.8,0.0,5.0,87.3,5.6,6.7,6.8,-2.16,99602.0,BTCUSD,meanrev_2R,3.0,
786,8.7,0.0,6.1,85.2,5.6,6.7,6.94,-2.27,99621.0,BTCUSD,meanrev_2R,4.0,
786,0.3,0.0,0.0,99.7,6.6,7.0,4.1,-1.02,99495.0,BTCUSD,coin_2R,1.0,
786,5.7,0.0,3.4,90.8,5.6,6.9,6.36,-1.84,99337.0,BTCUSD,coin_2R,2.0,
786,7.9,0.0,5.6,86.5,5.6,6.7,6.85,-2.17,99316.0,BTCUSD,coin_2R,3.0,
