sym,mult,step,lv,sl,tp,final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,yearly,ruin
EURUSD,1.5,60,3,60,10,0.0,-1000.0,-0.0223,-0.0155,1015.79,100.0,0.0,2015-11-06 15:00:00,1,3523,70,3452,0.06,3,-102.13,"{'2012': -10.87, '2013': -103.28, '2014': -17.03, '2015': -868.83, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,60,15,938.1,-61.9,-0.0014,0.016,833.11,62.8,494.49,,0,4284,105,4179,0.06,3,-102.13,"{'2012': 4.93, '2013': 176.87, '2014': 53.85, '2015': -607.37, '2016': 50.66, '2017': 259.18}",False
EURUSD,1.5,60,3,100,6,0.0,-1000.0,-0.0223,-0.0671,1004.31,100.0,0.0,2015-01-23 11:00:00,0,2213,21,2192,0.06,3,-111.28,"{'2012': -133.35, '2013': -488.05, '2014': -199.36, '2015': -179.25, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,100,10,0.0,-1000.0,-0.0223,-0.0332,1013.09,100.0,0.0,2015-06-05 15:00:00,2,2271,30,2239,0.06,3,-152.27,"{'2012': -83.29, '2013': -221.03, '2014': -9.33, '2015': -686.36, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,100,15,524.11,-475.89,-0.0106,-0.0072,684.29,61.2,433.15,,0,3378,55,3323,0.06,3,-152.27,"{'2012': -42.04, '2013': -9.9, '2014': 57.45, '2015': -481.91, '2016': 0.86, '2017': -0.33}",False
EURUSD,1.5,60,3,150,6,0.0,-1000.0,-0.0223,-0.0497,1004.31,100.0,0.0,2015-03-11 11:00:00,1,1800,12,1787,0.06,3,-161.5,"{'2012': -98.32, '2013': -335.32, '2014': -251.79, '2015': -314.58, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,150,10,244.71,-755.29,-0.0168,-0.0225,915.54,90.4,97.56,,0,3395,26,3369,0.06,3,-184.36,"{'2012': -56.81, '2013': -121.42, '2014': -199.58, '2015': -428.34, '2016': 79.69, '2017': -28.84}",False
EURUSD,1.5,60,3,150,15,860.44,-139.56,-0.0031,0.0008,682.38,62.3,413.09,,0,2608,27,2581,0.06,3,-183.41,"{'2012': -40.63, '2013': 79.78, '2014': -61.14, '2015': -431.92, '2016': 250.66, '2017': 63.71}",False
EURUSD,1.5,60,3,200,6,0.0,-1000.0,-0.0223,-0.0248,1004.31,100.0,0.0,2015-11-10 15:00:00,1,2152,10,2141,0.06,3,-232.5,"{'2012': -82.8, '2013': -132.59, '2014': -177.64, '2015': -606.98, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,200,10,399.85,-600.15,-0.0134,-0.0031,760.15,73.4,275.41,,0,2825,16,2809,0.06,3,-232.5,"{'2012': -47.56, '2013': 38.7, '2014': -77.57, '2015': -372.41, '2016': -162.32, '2017': 20.99}",False
EURUSD,1.5,60,3,200,15,903.77,-96.23,-0.0021,0.0159,500.65,40.6,731.88,,0,2087,16,2071,0.06,3,-232.5,"{'2012': -32.73, '2013': 204.01, '2014': -31.0, '2015': -286.12, '2016': -31.47, '2017': 81.1}",False
EURUSD,1.5,60,4,60,6,0.0,-1000.0,-0.0223,-0.0583,1004.31,100.0,0.0,2015-03-18 20:00:00,0,3106,41,3065,0.07,4,-108.62,"{'2012': -107.21, '2013': -383.77, '2014': -164.51, '2015': -344.52, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,60,10,0.0,-1000.0,-0.0223,-0.0136,1094.38,100.0,0.0,2015-11-06 15:00:00,1,3697,70,3626,0.07,4,-108.62,"{'2012': -49.28, '2013': -18.91, '2014': 17.72, '2015': -949.54, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,60,15,1051.57,51.57,0.0011,0.0199,927.39,63.4,534.85,,0,4581,108,4473,0.07,4,-121.12,"{'2012': -18.92, '2013': 272.17, '2014': 142.21, '2015': -774.88, '2016': 306.88, '2017': 124.13}",False
EURUSD,1.5,60,4,100,6,0.0,-1000.0,-0.0223,-0.0696,1004.31,100.0,0.0,2015-01-16 17:00:00,1,2586,23,2562,0.08,4,-139.79,"{'2012': -137.34, '2013': -496.47, '2014': -205.73, '2015': -160.46, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,100,10,0.0,-1000.0,-0.0223,-0.0398,1013.09,100.0,0.0,2015-08-24 15:00:00,1,3108,39,3068,0.08,4,-156.29,"{'2012': -83.96, '2013': -260.03, '2014': 28.21, '2015': -684.22, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,100,15,1280.29,280.29,0.0062,-0.0079,600.95,47.1,675.23,,0,4074,60,4014,0.08,4,-156.29,"{'2012': -66.2, '2013': 28.73, '2014': 243.08, '2015': -411.72, '2016': 94.97, '2017': 391.44}",False
EURUSD,1.5,60,4,150,6,0.0,-1000.0,-0.0223,-0.066,1004.31,100.0,0.0,2015-01-02 09:00:00,0,2220,14,2206,0.1,4,-187.14,"{'2012': -181.76, '2013': -517.93, '2014': -293.62, '2015': -6.7, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,150,10,0.0,-1000.0,-0.0223,-0.0462,1026.02,100.0,0.0,2015-03-18 20:00:00,1,2123,19,2103,0.1,4,-201.85,"{'2012': -133.18, '2013': -364.25, '2014': -33.39, '2015': -469.19, '2016': 0.0, '2017': 0.0}",True
