final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0477,1004.88,100.0,0.0,2015-05-19 18:00:00,3,2350,39,2308,0.06,3,-129.72,100,60,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.039,1004.88,100.0,0.0,2016-03-22 16:00:00,2,2623,23,2598,0.06,3,-169.46,100,60,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0277,1004.88,100.0,0.0,2016-06-24 05:00:00,1,2165,12,2152,0.06,3,-387.06,100,60,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0697,1005.5,100.0,0.0,2014-09-19 16:00:00,2,1753,31,1720,0.07,5,-106.85,100,60,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0555,1005.5,100.0,0.0,2015-03-09 10:00:00,1,2122,20,2101,0.09,5,-196.62,100,60,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1005.5,100.0,0.0,2013-09-20 16:00:00,4,728,6,718,0.1,5,-270.78,100,60,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0697,1005.5,100.0,0.0,2014-09-19 16:00:00,2,1753,31,1720,0.07,5,-106.85,100,60,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0538,1005.5,100.0,0.0,2015-03-18 21:00:00,0,2172,20,2152,0.1,7,-189.39,100,60,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1049.79,100.0,0.0,2013-07-05 09:00:00,2,615,6,607,0.12,8,-273.65,100,60,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0325,1008.71,100.0,0.0,2015-05-19 23:00:00,5,2458,46,2407,0.06,3,-124.46,200,15,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0509,1008.71,100.0,0.0,2015-03-05 15:00:00,6,1734,19,1709,0.06,3,-185.62,200,15,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0367,1064.56,100.0,0.0,2016-01-13 01:00:00,4,1738,12,1722,0.06,3,-259.31,200,15,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0634,1008.61,100.0,0.0,2014-05-21 17:00:00,5,1866,37,1824,0.1,5,-111.82,200,15,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0585,1014.5,100.0,0.0,2014-09-19 16:00:00,3,1952,22,1927,0.1,5,-194.17,200,15,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.61,100.0,0.0,2013-09-20 14:00:00,7,988,8,973,0.1,5,-266.31,200,15,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0951,1009.99,100.0,0.0,2014-01-08 08:00:00,6,1563,31,1526,0.13,8,-140.12,200,15,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1009.99,100.0,0.0,2013-07-31 14:00:00,2,977,14,961,0.13,8,-204.91,200,15,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1009.99,100.0,0.0,2013-07-12 15:00:00,4,838,7,827,0.16,8,-303.19,200,15,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0256,1050.55,100.0,0.0,2015-11-11 03:00:00,1,3127,53,3073,0.06,3,-118.75,200,25,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0607,1006.26,100.0,0.0,2015-03-18 20:00:00,1,1814,19,1794,0.06,3,-182.42,200,25,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0453,1032.05,100.0,0.0,2016-05-04 11:00:00,2,1881,12,1867,0.06,3,-257.34,200,25,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0884,1008.07,100.0,0.0,2014-05-21 17:00:00,6,1794,34,1754,0.1,5,-111.57,200,25,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0669,1008.07,100.0,0.0,2014-09-17 20:00:00,4,1813,19,1790,0.1,5,-193.98,200,25,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0923,1008.07,100.0,0.0,2014-01-17 10:00:00,0,1094,8,1086,0.1,5,-287.22,200,25,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0798,1008.07,100.0,0.0,2014-05-21 15:00:00,6,1789,33,1750,0.1,7,-122.83,200,25,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-11-05 10:00:00,1,1183,15,1167,0.13,8,-186.01,200,25,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-07-10 23:00:00,2,754,6,746,0.15,8,-316.28,200,25,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0487,1001.77,100.0,0.0,2015-09-22 21:00:00,6,2716,45,2665,0.06,3,-131.88,200,40,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0526,1001.77,100.0,0.0,2015-05-19 16:00:00,3,1911,19,1889,0.06,3,-179.3,200,40,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0629,1001.77,100.0,0.0,2016-05-03 16:00:00,2,1992,12,1978,0.06,3,-278.14,200,40,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0783,1006.25,100.0,0.0,2014-10-15 14:00:00,2,1863,33,1828,0.08,5,-115.33,200,40,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0617,1006.25,100.0,0.0,2015-05-21 15:00:00,3,2469,23,2443,0.1,5,-178.08,200,40,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1006.25,100.0,0.0,2013-09-20 14:00:00,3,737,6,728,0.1,5,-279.47,200,40,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0801,1006.25,100.0,0.0,2014-10-13 04:00:00,4,1856,33,1819,0.08,6,-115.33,200,40,8,80,10,0.01,GBPUSD,False
