final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
321.63,-678.37,-0.0151,-0.0171,710.5,69.7,309.12,,0,2422,12,2410,0.06,3,-266.49,50,40,3,250,10,0.01,EURUSD,False
317.05,-682.95,-0.0152,-0.0067,698.07,68.9,314.94,,0,2349,13,2336,0.06,3,-281.26,100,15,3,250,10,0.01,EURUSD,False
313.51,-686.49,-0.0153,-0.0367,876.7,87.0,131.29,,0,2855,22,2833,0.06,3,-184.36,400,60,3,150,10,0.01,EURUSD,False
300.72,-699.28,-0.0156,-0.0178,729.55,71.7,288.21,,0,2406,12,2394,0.06,3,-266.49,100,40,3,250,10,0.01,EURUSD,False
281.55,-718.45,-0.016,-0.0263,793.4,78.7,214.6,,0,2307,11,2296,0.06,3,-265.07,50,60,3,250,10,0.01,EURUSD,False
276.5,-723.5,-0.0161,-0.0104,740.52,73.5,267.48,,0,2462,13,2449,0.06,3,-266.49,50,25,3,250,10,0.01,EURUSD,False
255.62,-744.38,-0.0166,-0.0186,773.72,76.1,243.11,,0,2365,12,2353,0.06,3,-266.49,200,40,3,250,10,0.01,EURUSD,False
251.84,-748.16,-0.0167,-0.0503,1247.89,84.3,232.44,,0,2345,42,2303,0.18,6,-337.56,400,60,8,250,20,0.02,EURUSD,False
244.19,-755.81,-0.0168,-0.0114,772.83,76.7,235.17,,0,2436,13,2423,0.06,3,-266.49,100,25,3,250,10,0.01,EURUSD,False
240.57,-759.43,-0.0169,-0.0265,834.38,82.8,173.62,,0,2268,11,2257,0.06,3,-265.07,100,60,3,250,10,0.01,EURUSD,False
237.66,-762.34,-0.017,-0.0094,779.63,76.8,235.55,,0,2287,13,2274,0.06,3,-281.26,200,15,3,250,10,0.01,EURUSD,False
236.28,-763.72,-0.017,-0.0194,861.41,83.5,170.67,,0,2910,27,2883,0.06,3,-163.02,400,15,3,150,10,0.01,EURUSD,False
201.62,-798.38,-0.0178,-0.011,838.23,80.9,197.82,,0,3126,29,3097,0.06,3,-163.02,200,15,3,150,10,0.01,EURUSD,False
185.57,-814.43,-0.0181,-0.0212,843.77,83.0,173.06,,0,2306,12,2294,0.06,3,-272.55,400,40,3,250,10,0.01,EURUSD,False
160.56,-839.44,-0.0187,-0.0258,923.42,91.6,84.58,,0,3984,56,3928,0.06,3,-128.69,200,60,3,80,10,0.01,EURUSD,False
