ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,is_net,is_pf,oos_net,oos_pf,oos_dd,oos_trades
200,55,2.0,4.0,20.0,1,39.09,1.046,-115.3,0.901,309.18,154
200,55,2.0,4.0,25.0,0,268.59,1.343,-209.71,0.683,302.43,85
200,55,2.0,4.0,25.0,1,-38.11,0.964,-83.9,0.919,304.69,137
200,55,3.0,2.0,0.0,0,11.67,1.015,8.32,1.012,266.26,135
200,55,3.0,2.0,0.0,1,-169.71,0.855,184.67,1.144,176.41,245
200,55,3.0,2.0,20.0,0,9.07,1.012,-2.27,0.997,265.76,130
200,55,3.0,2.0,20.0,1,-189.9,0.83,146.26,1.115,193.16,236
200,55,3.0,2.0,25.0,0,84.54,1.14,-9.7,0.984,292.3,114
200,55,3.0,2.0,25.0,1,-182.94,0.82,121.81,1.108,207.4,210
200,55,3.0,3.0,0.0,0,164.34,1.221,-246.7,0.647,301.14,93
200,55,3.0,3.0,0.0,1,143.28,1.107,-250.48,0.577,300.52,73
200,55,3.0,3.0,20.0,0,169.75,1.239,-252.56,0.638,305.18,87
200,55,3.0,3.0,20.0,1,-3.32,0.997,-242.1,0.587,300.51,70
200,55,3.0,3.0,25.0,0,88.73,1.148,-246.41,0.619,300.21,89
200,55,3.0,3.0,25.0,1,31.49,1.028,-252.33,0.546,301.43,66
200,55,3.0,4.0,0.0,0,469.75,1.629,-210.8,0.719,300.82,76
200,55,3.0,4.0,0.0,1,194.76,1.209,-137.05,0.892,308.13,143
200,55,3.0,4.0,20.0,0,470.74,1.652,-229.53,0.697,307.32,76
200,55,3.0,4.0,20.0,1,197.63,1.264,-170.14,0.867,304.39,139
200,55,3.0,4.0,25.0,0,541.68,1.919,-205.14,0.709,302.54,72
200,55,3.0,4.0,25.0,1,217.52,1.276,-75.17,0.934,301.25,126
